[2025-05-16 15:30:04,803] config: lr: 0.001, batch size:8, num epoches:1
[2025-05-16 15:30:04,803] loss: kld
[2025-05-16 15:30:04,803] origin bit
[2025-05-16 15:30:04,804] Forwarding module: linear module0, using bit[0] = 4.0000
[2025-05-16 15:30:04,804] Forwarding module: linear module1, using bit[1] = 4.0000
[2025-05-16 15:30:04,804] Forwarding module: linear module2, using bit[2] = 3.0000
[2025-05-16 15:30:04,804] Forwarding module: linear module3, using bit[3] = 4.0000
[2025-05-16 15:30:04,804] Forwarding module: linear module4, using bit[4] = 3.0000
[2025-05-16 15:30:04,804] Forwarding module: linear module5, using bit[5] = 4.0000
[2025-05-16 15:30:04,804] Forwarding module: linear module6, using bit[6] = 3.0000
[2025-05-16 15:30:04,804] Forwarding module: linear module7, using bit[7] = 4.0000
[2025-05-16 15:30:04,804] Forwarding module: linear module8, using bit[8] = 4.0000
[2025-05-16 15:30:04,804] Forwarding module: linear module9, using bit[9] = 3.0000
[2025-05-16 15:30:04,804] Forwarding module: linear module10, using bit[10] = 4.0000
[2025-05-16 15:30:04,804] Forwarding module: linear module11, using bit[11] = 4.0000
[2025-05-16 15:30:04,804] Forwarding module: linear module12, using bit[12] = 4.0000
[2025-05-16 15:30:04,804] Forwarding module: linear module13, using bit[13] = 4.0000
[2025-05-16 15:30:04,804] Forwarding module: linear module14, using bit[14] = 4.0000
[2025-05-16 15:30:04,804] Forwarding module: linear module15, using bit[15] = 3.0000
[2025-05-16 15:30:04,804] Forwarding module: linear module16, using bit[16] = 4.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module17, using bit[17] = 4.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module18, using bit[18] = 3.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module19, using bit[19] = 4.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module20, using bit[20] = 3.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module21, using bit[21] = 3.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module22, using bit[22] = 3.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module23, using bit[23] = 4.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module24, using bit[24] = 3.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module25, using bit[25] = 3.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module26, using bit[26] = 3.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module27, using bit[27] = 3.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module28, using bit[28] = 4.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module29, using bit[29] = 3.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module30, using bit[30] = 4.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module31, using bit[31] = 3.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module32, using bit[32] = 4.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module33, using bit[33] = 4.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module34, using bit[34] = 3.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module35, using bit[35] = 4.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module36, using bit[36] = 4.0000
[2025-05-16 15:30:04,805] Forwarding module: linear module37, using bit[37] = 4.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module38, using bit[38] = 4.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module39, using bit[39] = 3.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module40, using bit[40] = 4.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module41, using bit[41] = 3.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module42, using bit[42] = 4.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module43, using bit[43] = 4.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module44, using bit[44] = 4.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module45, using bit[45] = 3.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module46, using bit[46] = 4.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module47, using bit[47] = 4.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module48, using bit[48] = 4.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module49, using bit[49] = 3.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module50, using bit[50] = 3.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module51, using bit[51] = 3.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module52, using bit[52] = 3.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module53, using bit[53] = 4.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module54, using bit[54] = 4.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module55, using bit[55] = 4.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module56, using bit[56] = 4.0000
[2025-05-16 15:30:04,806] Forwarding module: linear module57, using bit[57] = 3.0000
[2025-05-16 15:30:04,807] Forwarding module: linear module58, using bit[58] = 4.0000
[2025-05-16 15:30:04,807] Forwarding module: linear module59, using bit[59] = 3.0000
[2025-05-16 15:30:04,807] Forwarding module: linear module60, using bit[60] = 4.0000
